coord_id,product_url,product_name,category_detail,남성,여성,봄,여름,가을,겨울,item_type_from_category,option,predicted_color,predicted_fabric,style
1387761892525860595,https://www.musinsa.com/products/5133523,라이크 린넨 웨스턴 스트라이프 셔츠 블루,상의 > 셔츠/블라우스 (디앤에스알),1,0,0,1,0,0,상의,L,blue,cotton,minimal
1387761892525860595,https://www.musinsa.com/products/5096032,프리미엄 코튼 레이어드 슬리브리스 [화이트],상의 > 민소매 티셔츠 (시즈),1,0,0,1,0,0,상의,L,white,cotton,minimal
1387761892525860595,https://www.musinsa.com/products/5057496,Sun Shadow - MOD1w,하의 > 데님 팬츠 (모드나인),1,0,0,1,0,0,하의,32,black,denim,minimal
1387761892525860595,https://www.musinsa.com/products/5092153,GO61 올란도 피셔맨 샌들,신발 > 샌들/슬리퍼 (비에스큐티바이클래시),1,0,0,1,0,0,신발,브라운 · 275,brown,leather,minimal
1387771408530818305,https://www.musinsa.com/products/4989730,에버 코튼 반팔 셔츠 [버터],상의 > 셔츠/블라우스 (르아르),1,0,0,1,0,0,상의,L,yellow,cotton,minimal
1387771408530818305,https://www.musinsa.com/products/5073805,[2PACK] 25 SS 루즈핏 유넥 반팔 티셔츠,상의 > 반소매 티셔츠 (효지),1,0,0,1,0,0,상의,아이보리+블랙 · L,black,cotton,minimal
1387771408530818305,https://www.musinsa.com/products/5020139,25 SS 벨티드 하프 밴딩 버뮤다 슬랙스 ( 블랙 ),하의 > 숏 팬츠 (효지),1,0,0,1,0,0,하의,블랙 · L,black,polyester,minimal
1387771408530818305,https://www.musinsa.com/products/5149612,[TRACKER line]빈티지 하이브리드 로퍼 블랙,신발 > 구두 (코어오브알케미),1,0,0,1,0,0,신발,280,black,leather,minimal
1387771057984866916,https://www.musinsa.com/products/5126105,스트라이프 스터드 반팔 셔츠,상의 > 셔츠/블라우스 (구빈),1,0,0,1,0,0,상의,L,blue,cotton,minimal
1387771057984866916,https://www.musinsa.com/products/4277677,슬럽 세미와이드 데님 팬츠 빈티지 블루,하의 > 데님 팬츠 (베이스모먼트),1,0,0,1,0,0,하의,L,blue,denim,minimal
1387771057984866916,https://www.musinsa.com/products/5075772,WTRD1122 찰리 4홀 텀블 워싱 볼륨 더비슈즈 블랙 [240~290MM],신발 > 구두 (위더로드),1,0,0,1,0,0,신발,"블랙 · 270, 선택안함",black,leather,minimal
1387747327531545478,https://www.musinsa.com/products/4899079,[ON][데님or체크 선택]오버핏 반팔 셔츠 시리즈 - 5color,상의 > 셔츠/블라우스 (마인드브릿지),1,0,0,1,0,0,상의,선택1.블랙(데님) · 100,black,denim,minimal
1387747327531545478,https://www.musinsa.com/products/5096032,프리미엄 코튼 레이어드 슬리브리스 [화이트],상의 > 민소매 티셔츠 (시즈),1,0,0,1,0,0,상의,L,white,cotton,minimal
1387747327531545478,https://www.musinsa.com/products/3873175,PANI SIDE TUCK PANTS Grey,하의 > 코튼 팬츠 (이에이),1,0,0,1,0,0,하의,L,gray,cotton,minimal
1387747327531545478,https://www.musinsa.com/products/5152278,(남성) 루카 메이트 콤비 - 블랙:블랙 / 95-0218-0975BKBK,신발 > 부츠/워커 (버바나스),1,0,0,1,0,0,신발,43,black,leather,minimal
1387761447935427560,https://www.musinsa.com/products/5028980,와플 헨리넥 반팔티 오프 화이트,상의 > 반소매 티셔츠 (베이스모먼트),1,0,0,1,0,0,상의,L,white,cotton,minimal
1387761447935427560,https://www.musinsa.com/products/4693994,Midnight Subway - MOD7,하의 > 데님 팬츠 (모드나인),1,0,0,1,0,0,하의,32,navy,denim,minimal
1387761447935427560,https://www.musinsa.com/products/5075194,UNIFORM Faded Loafer Brown,신발 > 구두 (로스트가든),1,0,0,1,0,0,신발,FREE,brown,leather,minimal
